LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2010-11,621,Candler County,101,Metter High School,All Students,Mathematics,1267239,84799,91,91,490,449,449
2010-11,621,Candler County,101,Metter High School,All Students,Reading,1267239,84686,88,88,486,448,448
2010-11,621,Candler County,101,Metter High School,All Students,Writing,1267239,84548,90,90,474,442,442
2010-11,622,Carroll County,113,Open Campus High School,All Students,Combined,1267239,84678,458,2,1451,1378,
2010-11,622,Carroll County,113,Open Campus High School,All Students,Mathematics,1267239,84799,462,2,490,458,
2010-11,622,Carroll County,113,Open Campus High School,All Students,Reading,1267239,84686,456,2,486,469,
2010-11,622,Carroll County,113,Open Campus High School,All Students,Writing,1267239,84548,457,2,474,451,
2010-11,622,Carroll County,189,Temple High School,All Students,Combined,1267239,84678,458,44,1451,1378,1368
2010-11,622,Carroll County,189,Temple High School,All Students,Mathematics,1267239,84799,462,44,490,458,445
2010-11,622,Carroll County,189,Temple High School,All Students,Reading,1267239,84686,456,43,486,469,478
2010-11,622,Carroll County,189,Temple High School,All Students,Writing,1267239,84548,457,44,474,451,445
2010-11,622,Carroll County,308,Mt. Zion High School,All Students,Combined,1267239,84678,458,15,1451,1378,1433
2010-11,622,Carroll County,308,Mt. Zion High School,All Students,Mathematics,1267239,84799,462,15,490,458,468
2010-11,622,Carroll County,308,Mt. Zion High School,All Students,Reading,1267239,84686,456,15,486,469,491
2010-11,622,Carroll County,308,Mt. Zion High School,All Students,Writing,1267239,84548,457,15,474,451,475
2010-11,622,Carroll County,2052,Central High School,All Students,Combined,1267239,84678,458,199,1451,1378,1366
2010-11,622,Carroll County,2052,Central High School,All Students,Mathematics,1267239,84799,462,202,490,458,453
2010-11,622,Carroll County,2052,Central High School,All Students,Reading,1267239,84686,456,197,486,469,464
2010-11,622,Carroll County,2052,Central High School,All Students,Writing,1267239,84548,457,199,474,451,448
2010-11,622,Carroll County,3050,Bowdon High School,All Students,Combined,1267239,84678,458,26,1451,1378,1464
